fp_pwr,rx_pwr,pwr_diff,rxpacc,label,frame_len
-78.7686337786,-97.8952675665,-19.1266337879,52,1,0
-80.2436004902,-98.8643676965,-18.6207672064,52,1,0
-79.1697564342,-100.113755063,-20.9439986284,52,1,0
-76.6829464984,-97.103455106,-20.4205086075,52,1,0
-76.6434124157,-97.8952675665,-21.2518551508,52,1,0
-78.230267295,-98.8643676965,-20.6341004016,52,1,0
-78.4603312381,-100.113755063,-21.6534238245,52,1,0
-77.9502377084,-98.8643676965,-20.9141299881,52,1,0
-79.1097165307,-100.113755063,-21.0040385319,52,1,0
-77.9655707519,-98.8643676965,-20.8987969446,52,1,0
-79.6318382904,-98.8643676965,-19.2325294061,52,1,0
-76.0875800129,-97.103455106,-21.0158750931,52,1,0
-77.0994806196,-97.103455106,-20.0039744864,52,1,0
-79.4376939556,-97.8952675665,-18.4575736108,52,1,0
-87.0480536768,-98.8643676965,-11.8163140197,52,1,0
-74.2286324879,-95.3425425154,-21.1139100275,52,1,0
-83.0879202355,-101.874667653,-18.7867474176,52,1,0
-86.9839876472,-100.809757414,-13.8257697669,46,1,0
-85.6897209242,-103.629151013,-17.9394300884,45,1,0
-86.8607361528,-100.113755063,-13.2530189099,52,1,0
-87.3928110408,-103.433954267,-16.041143226,44,1,0
-91.0059702422,-101.874667653,-10.868697411,52,1,0
-88.9816486053,-103.433954267,-14.4523056615,44,1,0
-87.2496061691,-103.117625788,-15.8680196191,60,1,0
-87.3970532168,-103.433954267,-16.0369010501,44,1,0
-86.8800082109,-103.433954267,-16.5539460559,44,1,0
-86.9042968761,-101.874667653,-14.9703707771,52,1,0
-83.4038137921,-101.874667653,-18.4708538611,52,1,0
-83.1180918954,-98.8643676965,-15.7462758012,52,1,0
-82.2529439601,-100.113755063,-17.8608111025,52,1,0
-85.3960300593,-101.874667653,-16.4786375939,52,1,0
-89.8223066904,-97.103455106,-7.28114841555,52,1,0
-78.5053068941,-98.8643676965,-20.3590608024,52,1,0
-80.8622617983,-101.874667653,-21.0124058549,52,1,0
-89.6254157435,-100.113755063,-10.4883393192,52,1,0
-91.7213177159,-101.874667653,-10.1533499373,52,1,0
-90.7038741128,-100.113755063,-9.40988094987,52,1,0
-85.9575781255,-103.029886545,-17.0723084196,42,1,0
-81.8518708259,-103.629151013,-21.7772801868,45,1,0
-80.1980935154,-101.179425528,-20.9813320126,48,1,0
-78.4939470273,-99.5976097905,-21.1036627632,49,1,0
-78.2540155251,-99.5976097905,-21.3435942653,49,1,0
-77.0636891138,-97.8952675665,-20.8315784526,52,1,0
